symbol,passed,close,rule_1_weekly_close_gt_weekly_sma20,rule_2_pullback_ge_3pct,rule_3_pullback_le_15pct,rule_4_new_10d_closing_high,rule_5_breakout_ge_5pct,rule_6_breakout_le_20pct,rule_7_strong_close_small_wick,rule_8_macd_line_gt_signal,rule_9_recent_macd_cross,rule_10_volume_surge_1.3x,rule_16_atr_pct_le_8,pullback_pct,atr_pct_of_close,stop_loss_10pct,sma10_exit_level,sma10_already_broken,rule_11_roe_ge_10pct,rule_12_roce_ge_10pct,rule_13_net_sales_gt_0,rule_14_net_profit_gt_0,rule_15_operating_margin_ge_10pct,roe_pct,roce_pct,operating_margin_pct
EME,False,744.16,False,True,True,False,False,True,True,False,True,False,True,11.6,4.14,669.74,769.34,True,True,True,True,True,False,32.9,36.6,8.7
EOG,False,139.89,False,False,True,True,False,True,False,True,True,False,True,1.3,2.59,125.9,136.26,False,True,True,True,True,True,16.1,13.3,37.5
EQIX,False,1020.0,True,True,True,False,False,True,True,False,True,False,True,5.7,2.65,918.0,1023.86,True,False,False,True,True,True,9.4,5.1,41.3
EQT,False,49.56,False,True,True,False,False,True,False,False,True,False,True,7.2,2.52,44.6,50.14,True,False,False,True,True,True,8.1,8.3,60.3
ERIE,False,227.31,True,True,True,False,False,True,False,False,True,False,True,14.0,4.71,204.58,241.36,True,True,True,True,True,True,23.8,29.0,29.2
ES,False,74.62,True,False,True,False,False,True,True,True,False,False,True,2.4,1.98,67.16,74.35,False,False,False,True,True,True,-2.6,5.3,23.9
ETR,False,113.24,True,True,True,False,False,True,True,False,True,True,True,3.4,1.92,101.92,114.49,True,True,False,True,True,True,13.6,4.7,18.0
EVRG,False,85.59,True,True,True,False,False,True,True,False,True,False,True,3.7,1.83,77.03,86.08,True,False,False,True,True,True,8.4,5.1,22.1
EW,False,85.73,True,True,True,False,False,True,True,False,True,False,True,11.4,2.94,77.16,90.99,True,True,True,True,True,True,10.4,10.6,29.0
EXC,False,46.26,False,True,True,False,False,True,True,False,True,False,True,4.9,2.15,41.63,46.79,True,False,False,True,True,True,4.0,4.8,22.2
EXE,False,88.13,False,True,True,False,False,True,False,True,False,True,True,3.7,2.53,79.32,88.36,True,False,False,True,True,True,9.3,9.7,34.8
EXPD,False,182.8,True,False,True,True,False,True,True,True,True,False,True,1.2,1.97,164.52,173.46,False,True,True,True,True,True,35.5,38.4,16.4
EXPE,False,268.77,True,True,True,False,False,True,False,False,True,False,True,4.1,3.77,241.89,267.43,False,True,True,True,False,False,224.7,26.4,7.3
F,False,14.23,True,True,True,True,False,True,False,True,True,False,True,3.7,3.37,12.81,13.89,False,True,False,True,False,False,15.7,-5.2,5.9
FANG,False,195.54,False,False,True,True,False,True,True,True,True,True,True,0.8,2.85,175.99,186.4,False,False,False,True,True,False,4.6,1.9,2.7
FAST,False,45.49,True,True,True,False,False,True,True,False,True,False,True,7.6,3.2,40.94,46.51,True,True,True,True,True,True,30.9,37.5,21.0
FDS,False,258.09,True,True,True,False,False,True,False,True,True,False,True,3.2,4.93,232.28,253.48,False,True,True,True,True,True,29.4,23.9,48.9
FDX,False,312.98,True,False,True,False,False,True,False,False,True,False,True,2.6,2.83,281.68,313.01,True,True,False,True,True,False,13.7,6.7,7.8
FE,False,48.53,False,False,True,False,False,True,True,True,False,False,True,2.2,1.9,43.68,48.37,False,False,False,True,True,True,8.1,4.3,19.7
FFIV,False,409.1,True,True,True,False,False,True,True,False,True,False,True,9.9,3.57,368.19,420.22,True,True,True,True,True,True,19.0,15.9,22.1
FIS,False,41.91,False,True,True,False,False,True,False,True,False,False,True,3.9,3.53,37.72,41.64,False,False,False,True,True,True,2.4,5.0,12.8
FISV,False,50.63,False,True,True,False,False,True,False,True,True,False,True,9.2,4.2,45.57,51.06,True,True,True,True,True,True,13.3,10.2,17.4
FIX,False,1674.06,True,True,False,False,False,True,True,False,True,True,True,17.5,6.29,1506.65,1729.74,True,True,True,True,True,True,36.3,39.7,17.0
FSLR,False,211.99,True,True,True,False,False,True,False,False,True,False,True,14.5,5.98,190.79,223.08,True,True,True,True,True,True,15.5,14.3,33.1
FTNT,False,161.61,True,True,True,False,False,True,False,False,True,False,True,6.7,4.09,145.45,161.33,False,True,True,True,True,True,187.3,39.6,31.4
FTV,False,61.78,True,True,True,False,False,True,False,False,True,False,True,4.3,2.37,55.6,61.85,True,False,False,True,True,True,9.5,7.7,10.4
GD,False,368.58,True,True,True,False,False,True,False,False,True,False,True,3.7,2.08,331.72,372.08,True,True,True,True,True,True,16.1,13.3,15.5
GDDY,False,94.35,True,True,True,False,False,True,False,True,False,False,True,4.0,4.23,84.91,90.24,False,True,True,True,True,True,368.7,22.1,49.0
GE,False,348.83,True,True,True,False,False,True,False,False,True,False,True,10.4,3.0,313.95,358.21,True,True,True,True,True,True,49.3,26.2,44.0
GEHC,False,63.07,False,True,True,False,False,True,True,False,True,False,True,5.7,3.38,56.76,64.27,True,True,False,True,True,True,19.5,9.7,10.0
GEN,False,26.74,True,False,True,False,False,True,False,True,True,False,True,2.3,3.4,24.07,26.4,False,True,True,True,True,True,37.3,16.5,1603.7
GEV,False,1057.84,True,True,False,False,False,True,True,False,True,False,True,17.9,5.64,952.06,1072.49,True,True,False,True,True,False,35.1,5.0,1.9
GILD,False,134.28,False,False,True,False,False,True,False,True,False,False,True,2.6,3.01,120.85,133.02,False,True,True,True,True,True,36.2,21.4,39.3
GLW,False,154.61,True,True,False,False,False,True,False,False,True,False,False,34.4,11.13,139.15,180.56,True,True,False,True,True,True,13.5,9.0,15.4
GM,False,76.07,True,True,True,False,False,True,False,True,True,False,True,3.4,2.74,68.46,76.96,True,False,False,True,True,False,4.3,1.6,6.7
GNRC,False,214.91,False,True,False,False,False,True,False,False,True,False,True,24.4,6.38,193.42,230.9,True,False,False,True,True,True,6.0,6.6,11.1
GOOG,False,346.12,True,True,True,False,False,True,False,True,True,False,True,8.9,3.32,311.51,357.66,True,True,True,True,True,True,27.6,21.8,36.1
GOOGL,False,346.77,True,True,True,False,False,True,False,False,True,False,True,9.0,3.37,312.09,359.57,True,True,True,True,True,True,27.6,21.8,36.1
GPC,False,124.82,True,True,True,False,False,True,False,False,True,False,True,8.6,3.2,112.34,124.91,True,False,True,True,True,False,1.5,13.0,4.5
GPN,False,77.82,True,True,True,False,False,True,False,True,False,False,True,3.7,3.86,70.04,76.77,False,False,False,True,False,False,5.9,3.5,-2.0
GRMN,False,249.56,True,False,True,False,False,True,False,True,False,False,True,1.5,2.51,224.6,245.24,False,True,True,True,True,True,17.9,19.6,24.6
GWW,False,1395.01,True,False,True,False,False,True,False,False,True,False,True,1.3,2.17,1255.51,1374.82,False,True,True,True,True,True,43.4,34.3,51.7
HAL,False,35.22,False,True,True,False,False,True,False,True,True,False,True,3.9,2.92,31.7,34.64,False,True,True,True,True,True,11.9,11.5,11.4
HAS,False,81.55,False,False,True,False,False,True,True,True,True,False,True,2.4,2.65,73.4,78.9,False,False,False,True,True,True,-10.8,0.3,24.3
HD,False,338.87,True,True,True,False,False,True,False,False,True,False,True,5.8,2.74,304.98,341.73,True,True,True,True,True,True,102.0,28.9,30.0
HII,False,269.13,False,True,True,False,False,True,False,False,True,False,True,9.4,2.88,242.22,282.82,True,True,False,True,True,False,11.9,6.7,5.0
HLT,False,321.32,True,True,True,False,False,True,False,False,True,False,True,7.0,2.46,289.19,330.81,True,False,True,True,True,True,-24.7,22.8,29.6
HON,False,225.02,False,True,True,False,False,True,False,False,True,False,True,4.3,3.36,202.52,224.55,False,True,True,True,True,True,34.8,15.7,22.6
HPE,False,45.82,True,True,True,False,False,True,False,False,True,False,True,14.4,6.42,41.24,46.41,True,False,False,True,True,False,0.2,-0.8,7.0
HPQ,False,24.84,True,True,True,True,False,True,True,True,True,False,True,6.3,4.08,22.36,23.98,False,False,True,True,True,False,-1756.2,24.9,4.2
HRL,False,25.39,True,False,True,False,False,True,True,False,True,False,True,2.4,2.62,22.85,24.81,False,False,False,True,True,False,6.0,6.2,7.3
HSIC,False,87.82,True,False,True,False,False,True,False,True,True,False,True,2.3,2.23,79.04,86.09,False,True,False,True,True,False,12.2,8.2,5.5
HSY,False,171.42,False,True,True,False,False,True,True,False,True,False,True,6.8,3.05,154.28,173.63,True,True,True,True,True,True,19.0,13.3,36.3
HUBB,False,488.67,False,True,True,False,False,True,True,False,True,False,True,6.2,3.48,439.8,484.29,False,True,True,True,True,True,23.5,18.2,17.4
HUM,False,400.0,True,True,True,False,False,True,True,False,True,False,True,10.0,3.85,360.0,398.08,False,False,False,True,True,False,6.4,8.0,4.4
HWM,False,272.43,True,True,True,False,False,True,False,False,True,False,True,5.3,3.34,245.19,274.05,True,True,True,True,True,True,27.3,19.0,21.2
ICE,False,139.65,False,False,True,False,False,True,False,True,True,False,True,2.3,2.89,125.68,137.54,False,True,False,True,True,True,11.2,9.2,107.0
IDXX,False,567.44,False,True,True,False,False,True,False,True,True,False,True,3.5,3.37,510.7,561.85,False,True,True,True,True,True,68.1,65.2,31.8
IEX,False,224.94,True,False,True,False,False,True,False,False,True,False,True,1.9,2.22,202.45,222.75,False,True,True,True,True,True,11.9,10.9,19.4
IFF,False,78.2,True,True,True,False,False,True,False,False,True,False,True,7.5,3.1,70.38,78.05,False,False,False,True,True,True,2.4,-1.8,21.5
INCY,False,117.25,True,False,True,False,False,True,False,False,True,True,True,2.3,3.03,105.53,116.43,False,True,True,True,True,True,22.9,25.9,33.0
INTC,False,95.04,True,True,False,False,False,True,False,False,True,False,False,31.5,9.69,85.54,107.11,True,False,False,True,False,False,-0.2,-1.2,-23.1
